category,variant,ground_truth_satisfied,note,b0_green,b1_green,uni_decision,uni_accepts,uni_stale_recorded,uni_boundary_named,error
subject_breaks_claim,8,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
subject_breaks_claim,9,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
subject_breaks_claim,10,False,the watched data file no longer says CONFIRMED,False,True,EvidenceRequired,False,True,False,
verifier_weakened,1,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,2,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,3,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,4,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,5,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,6,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,7,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,8,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,9,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
verifier_weakened,10,False,the selected check was disabled to 0 passed while the artifact broke,True,True,EvidenceRequired,False,True,False,
frozen_file_tampered,1,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,2,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,3,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,4,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,5,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,6,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,7,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,8,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,9,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
frozen_file_tampered,10,False,the frozen invariant file was edited,True,True,Rejected,False,True,False,
claim_without_verifier,1,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,2,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,3,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,4,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,5,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,6,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,7,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,8,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,9,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
claim_without_verifier,10,False,required claim b has no verifier at all,True,True,EvidenceRequired,False,False,False,
authorization_rebound,1,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,2,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,3,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,4,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,5,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,6,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,7,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,8,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,9,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
authorization_rebound,10,False,re-authorized to a selector that selects nothing,True,True,CLI_ERR:1,False,False,False,
registry_weakened,1,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,2,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,3,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,4,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,5,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,6,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,7,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,8,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,9,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
registry_weakened,10,False,the trusted registry check was replaced by one that always passes,True,True,Accepted,True,True,True,
temporal_expired,1,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,2,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,3,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,4,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,5,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,6,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,7,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,8,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,9,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
temporal_expired,10,True,"proof aged past its window, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,1,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,2,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,3,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,4,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,5,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,6,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,7,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,8,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,9,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
platform_drift,10,True,"proof made on another platform, artifact untouched",True,True,Accepted,True,True,False,
